img_id,path,img_type,scenario,incompatible_ids
w80,Walk/Anlagenring_20260610_202328948.jpg,walk,Anlagenring,
w81,Walk/Anlagenring_20260610_202457753.jpg,walk,Anlagenring,
w82,Walk/Anlagenring_20260610_202516461.jpg,walk,Anlagenring,
w83,Walk/Anlagenring_20260610_202711112.jpg,walk,Anlagenring,
w84,Walk/Anlagenring_20260610_202843418.jpg,walk,Anlagenring,
b1,Bike/Anlagenring_20260610_181516629.jpg,bike,Anlagenring,b2
b2,Bike/Anlagenring_20260610_181614450.jpg,bike,Anlagenring,b1
b3,Bike/Anlagenring_20260610_181727007.jpg,bike,Anlagenring,
b4,Bike/Anlagenring_20260610_181908946.jpg,bike,Anlagenring,
b5,Bike/Anlagenring_20260610_182558647.jpg,bike,Anlagenring,b6
b6,Bike/Anlagenring_20260610_182742074.jpg,bike,Anlagenring,b5
b7,Bike/Anlagenring_20260610_182838468.jpg,bike,Anlagenring,
b8,Bike/Anlagenring_20260610_182940336.jpg,bike,Anlagenring,b10
b9,Bike/Anlagenring_20260610_183030440.jpg,bike,Anlagenring,12
b10,Bike/Anlagenring_20260610_183057209.jpg,bike,Anlagenring,b8
b11,Bike/Anlagenring_20260610_183120063.jpg,bike,Anlagenring,
b12,Bike/Anlagenring_20260610_183314726.jpg,bike,Anlagenring,b9
b13,Bike/Anlagenring_20260610_183409296.jpg,bike,Anlagenring,
b14,Bike/Anlagenring_20260610_183444268.jpg,bike,Anlagenring,
b15,Bike/Anlagenring_20260610_183729202.jpg,bike,Anlagenring,
b16,Bike/Anlagenring_20260610_183805109.jpg,bike,Anlagenring,
b17,Bike/Anlagenring_20260610_183946741.jpg,bike,Anlagenring,b18
b18,Bike/Anlagenring_20260610_184053438.jpg,bike,Anlagenring,b17
b19,Bike/Anlagenring_20260610_184107133.jpg,bike,Anlagenring,
b20,Bike/Anlagenring_20260610_184334497.jpg,bike,Anlagenring,
b21,Bike/Anlagenring_20260610_184508714.jpg,bike,Anlagenring,
b22,Bike/Anlagenring_20260610_184636935.jpg,bike,Anlagenring,
b23,Bike/Anlagenring_20260610_185005695.jpg,bike,Anlagenring,
b24,Bike/Anlagenring_20260610_185112353.jpg,bike,Anlagenring,
b25,Bike/Anlagenring_20260610_185212092.jpg,bike,Anlagenring,
b26,Bike/Anlagenring_20260610_185328296.jpg,bike,Anlagenring,
b27,Bike/Anlagenring_20260610_185540125.jpg,bike,Anlagenring,
b28,Bike/Anlagenring_20260610_185611028.jpg,bike,Anlagenring,
b29,Bike/Anlagenring_20260610_185718181.jpg,bike,Anlagenring,
b30,Bike/Anlagenring_20260610_185916511.jpg,bike,Anlagenring,
b31,Bike/Anlagenring_20260610_185941602.jpg,bike,Anlagenring,
b32,Bike/Anlagenring_20260610_190107324.jpg,bike,Anlagenring,
b33,Bike/Anlagenring_20260610_190131458.jpg,bike,Anlagenring,
b34,Bike/Anlagenring_20260610_190313835.jpg,bike,Anlagenring,
b35,Bike/Anlagenring_20260610_190435340.jpg,bike,Anlagenring,
b36,Bike/Anlagenring_20260610_190534850.jpg,bike,Anlagenring,b37
b37,Bike/Anlagenring_20260610_190620501.jpg,bike,Anlagenring,b36
b38,Bike/Anlagenring_20260610_190726317.jpg,bike,Anlagenring,
b39,Bike/Anlagenring_20260610_190819053.jpg,bike,Anlagenring,b40
b40,Bike/Anlagenring_20260610_190900914.jpg,bike,Anlagenring,b39
b41,Bike/Anlagenring_20260610_191009709.jpg,bike,Anlagenring,
b42,Bike/Anlagenring_20260610_191200939.jpg,bike,Anlagenring,
b43,Bike/Anlagenring_20260610_191424555.jpg,bike,Anlagenring,
b44,Bike/Anlagenring_20260610_192411849.jpg,bike,Anlagenring,
b45,Bike/Anlagenring_20260610_192950472.jpg,bike,Anlagenring,b46
b46,Bike/Anlagenring_20260610_193219468.jpg,bike,Anlagenring,b45
b47,Bike/Anlagenring_20260610_193645847.jpg,bike,Anlagenring,
b48,Bike/Anlagenring_20260610_193739746.jpg,bike,Anlagenring,
b49,Bike/Anlagenring_20260610_193815546.jpg,bike,Anlagenring,
b50,Bike/Anlagenring_20260610_194104433.jpg,bike,Anlagenring,
b51,Bike/Anlagenring_20260610_194506648.jpg,bike,Anlagenring,
b52,Bike/Anlagenring_20260610_194535579.jpg,bike,Anlagenring,
b53,Bike/Anlagenring_20260610_194612454.jpg,bike,Anlagenring,
