img_id,path,img_type,scenario,incompatible_ids,_abs_path,_serve_path,_img_source_idx,batch_id,score_start,uncertainty_start,n_answers_start,active_batch_start,score_walk-preference,uncertainty_walk-preference,n_answers_walk-preference,active_batch_walk-preference,score_bike-preference,uncertainty_bike-preference,n_answers_bike-preference,active_batch_bike-preference,score_general-preference,uncertainty_general-preference,n_answers_general-preference,active_batch_general-preference,score_stay-preference,uncertainty_stay-preference,n_answers_stay-preference,active_batch_stay-preference
w18,Walk/Anlagenring_20260610_184508714.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_184508714.jpg,/images/0/Walk/Anlagenring_20260610_184508714.jpg,0,4,5.0,0.5,0,1,6.386750569816319,0.31212089632961426,3,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w19,Walk/Anlagenring_20260610_184636935.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_184636935.jpg,/images/0/Walk/Anlagenring_20260610_184636935.jpg,0,1,5.0,0.5,0,1,5.15605014622781,0.3549314710962929,3,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w20,Walk/Anlagenring_20260610_184803495.jpg,walk,Anlagenring,w21,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_184803495.jpg,/images/0/Walk/Anlagenring_20260610_184803495.jpg,0,4,5.0,0.5,0,1,6.086291341394698,0.2696867740702444,4,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w21,Walk/Anlagenring_20260610_184900185.jpg,walk,Anlagenring,w20,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_184900185.jpg,/images/0/Walk/Anlagenring_20260610_184900185.jpg,0,4,5.0,0.5,0,1,6.265477581086392,0.3147210873589523,3,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w22,Walk/Anlagenring_20260610_185005695.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_185005695.jpg,/images/0/Walk/Anlagenring_20260610_185005695.jpg,0,4,5.0,0.5,0,1,7.572536138600478,0.31005472848252047,3,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w23,Walk/Anlagenring_20260610_185112353.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_185112353.jpg,/images/0/Walk/Anlagenring_20260610_185112353.jpg,0,3,5.0,0.5,0,1,5.839073929088309,0.3029227776422322,4,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w24,Walk/Anlagenring_20260610_185212092.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_185212092.jpg,/images/0/Walk/Anlagenring_20260610_185212092.jpg,0,1,5.0,0.5,0,1,4.555264177337483,0.2944347838907119,5,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w25,Walk/Anlagenring_20260610_185611028.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_185611028.jpg,/images/0/Walk/Anlagenring_20260610_185611028.jpg,0,1,5.0,0.5,0,1,2.9640699756310784,0.3335685125936919,4,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w26,Walk/Anlagenring_20260610_185718181.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_185718181.jpg,/images/0/Walk/Anlagenring_20260610_185718181.jpg,0,4,5.0,0.5,0,1,2.808164858778413,0.32012400405068375,3,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w27,Walk/Anlagenring_20260610_185916511.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_185916511.jpg,/images/0/Walk/Anlagenring_20260610_185916511.jpg,0,1,5.0,0.5,0,1,3.3029519398953355,0.33298891386366997,4,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w28,Walk/Anlagenring_20260610_190020172.jpg,walk,Anlagenring,w29,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_190020172.jpg,/images/0/Walk/Anlagenring_20260610_190020172.jpg,0,4,5.0,0.5,0,1,4.889560379142804,0.3635573214910894,2,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w29,Walk/Anlagenring_20260610_190107324.jpg,walk,Anlagenring,w28,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_190107324.jpg,/images/0/Walk/Anlagenring_20260610_190107324.jpg,0,2,5.0,0.5,0,1,6.854638165809834,0.3413114585485869,3,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w30,Walk/Anlagenring_20260610_190131458.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_190131458.jpg,/images/0/Walk/Anlagenring_20260610_190131458.jpg,0,3,5.0,0.5,0,1,3.622557614774741,0.4019655133800158,1,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w31,Walk/Anlagenring_20260610_190313835.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_190313835.jpg,/images/0/Walk/Anlagenring_20260610_190313835.jpg,0,2,5.0,0.5,0,1,5.817513537863084,0.25503661343746986,5,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w32,Walk/Anlagenring_20260610_190400330.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_190400330.jpg,/images/0/Walk/Anlagenring_20260610_190400330.jpg,0,2,5.0,0.5,0,1,4.886999957794131,0.2996076514783511,4,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w33,Walk/Anlagenring_20260610_190701348.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_190701348.jpg,/images/0/Walk/Anlagenring_20260610_190701348.jpg,0,1,5.0,0.5,0,1,4.204233185481379,0.32032055876571575,4,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w34,Walk/Anlagenring_20260610_190726317.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_190726317.jpg,/images/0/Walk/Anlagenring_20260610_190726317.jpg,0,2,5.0,0.5,0,1,3.5602653825918913,0.3757073807791037,2,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w35,Walk/Anlagenring_20260610_190819053.jpg,walk,Anlagenring,w36,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_190819053.jpg,/images/0/Walk/Anlagenring_20260610_190819053.jpg,0,1,5.0,0.5,0,1,4.144127642193631,0.3204882606263687,4,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w36,Walk/Anlagenring_20260610_190900914.jpg,walk,Anlagenring,w35,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_190900914.jpg,/images/0/Walk/Anlagenring_20260610_190900914.jpg,0,4,5.0,0.5,0,1,4.922781373001557,0.3655271852979461,2,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w37,Walk/Anlagenring_20260610_191009709.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_191009709.jpg,/images/0/Walk/Anlagenring_20260610_191009709.jpg,0,4,5.0,0.5,0,1,4.584841448963783,0.26764671804090934,4,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
